site_name,site_street,site_city,site_zip,site_type
Crossroad Health Center Harrison,,,,Project DAWN
Crossroad Health Center West,,,,Project DAWN
Hamilton County Public Health,,,,Project DAWN
Norwood Health Department,,,,Project DAWN
Pharmacy Over the Rhine,,,,Project DAWN
The Exchange Project,,,,Project DAWN
Bethesda North Apothecary,,,,Naloxone Pharmacy
CVS Pharmacy #6082,,,,Naloxone Pharmacy
CVS Pharmacy #6087,,,,Naloxone Pharmacy
CVS Pharmacy #6089,,,,Naloxone Pharmacy
CVS Pharmacy #6097,,,,Naloxone Pharmacy
CVS Pharmacy #6100,,,,Naloxone Pharmacy
CVS Pharmacy #6101,,,,Naloxone Pharmacy
CVS Pharmacy #6103,,,,Naloxone Pharmacy
CVS Pharmacy #6107,,,,Naloxone Pharmacy
CVS Pharmacy #6126,,,,Naloxone Pharmacy
CVS Pharmacy #6129,,,,Naloxone Pharmacy
CVS Pharmacy #16422,,,,Naloxone Pharmacy
CVS Pharmacy #16779,,,,Naloxone Pharmacy
CVS Pharmacy #16873,,,,Naloxone Pharmacy
CVS Pharmacy #17534,,,,Naloxone Pharmacy
CVS Pharmacy #17574,,,,Naloxone Pharmacy
CVS Pharmacy #2316,,,,Naloxone Pharmacy
CVS Pharmacy #2715,,,,Naloxone Pharmacy
CVS Pharmacy #2764,,,,Naloxone Pharmacy
CVS Pharmacy #3246,,,,Naloxone Pharmacy
CVS Pharmacy #5426,,,,Naloxone Pharmacy
CVS Pharmacy #6081,,,,Naloxone Pharmacy
CVS Pharmacy #6085,,,,Naloxone Pharmacy
CVS Pharmacy #6093,,,,Naloxone Pharmacy
CVS Pharmacy #6094,,,,Naloxone Pharmacy
CVS Pharmacy #6095,,,,Naloxone Pharmacy
CVS Pharmacy #6110,,,,Naloxone Pharmacy
CVS Pharmacy #6111,,,,Naloxone Pharmacy
CVS Pharmacy #6123,,,,Naloxone Pharmacy
CVS Pharmacy #6131,,,,Naloxone Pharmacy
CVS Pharmacy #6996,,,,Naloxone Pharmacy
CVS Pharmacy #7699,,,,Naloxone Pharmacy
Econo Pharmacy,,,,Naloxone Pharmacy
Good Samaritan Hospital Outpatient Pharmacy,,,,Naloxone Pharmacy
"Hart Pharmacy, Inc.",,,,Naloxone Pharmacy
Kroger Pharmacy #014370,,,,Naloxone Pharmacy
Kroger Pharmacy #014384,,,,Naloxone Pharmacy
Kroger Pharmacy #014436,,,,Naloxone Pharmacy
Kroger Pharmacy #014438,,,,Naloxone Pharmacy
Kroger Pharmacy #014445,,,,Naloxone Pharmacy
Kroger Pharmacy #014915,,,,Naloxone Pharmacy
Kroger Pharmacy #014948,,,,Naloxone Pharmacy
Kroger Pharmacy #355,,,,Naloxone Pharmacy
Kroger Pharmacy #400,,,,Naloxone Pharmacy
Kroger Pharmacy #402,,,,Naloxone Pharmacy
Kroger Pharmacy #413,,,,Naloxone Pharmacy
Kroger Pharmacy #421,,,,Naloxone Pharmacy
Kroger Pharmacy #428,,,,Naloxone Pharmacy
Kroger Pharmacy #429,,,,Naloxone Pharmacy
Kroger Pharmacy #432,,,,Naloxone Pharmacy
Kroger Pharmacy #465,,,,Naloxone Pharmacy
Kroger Pharmacy #908,,,,Naloxone Pharmacy
Kroger Pharmacy #929,,,,Naloxone Pharmacy
Kroger Pharmacy #943,,,,Naloxone Pharmacy
Kroger Pharmacy #944,,,,Naloxone Pharmacy
Kroger Pharmacy 014351,,,,Naloxone Pharmacy
Kroger Pharmacy 014353,,,,Naloxone Pharmacy
Kroger Pharmacy 014390,,,,Naloxone Pharmacy
Kroger Pharmacy 014418,,,,Naloxone Pharmacy
Kroger Pharmacy 014433,,,,Naloxone Pharmacy
Kroger Pharmacy 014482,,,,Naloxone Pharmacy
Kroger Pharmacy 014907,,,,Naloxone Pharmacy
Kroger Pharmacy 014942,,,,Naloxone Pharmacy
Kroger Sav-On #405,,,,Naloxone Pharmacy
Meijer Pharmacy #223,,,,Naloxone Pharmacy
Meijer Pharmacy #224,,,,Naloxone Pharmacy
Meijer Pharmacy #240,,,,Naloxone Pharmacy
The Oak Apothecary,,,,Naloxone Pharmacy
Sam's Pharmacy 10-6450,,,,Naloxone Pharmacy
Sam's Pharmacy 10-6544,,,,Naloxone Pharmacy
Sam's Pharmacy 10-8131,,,,Naloxone Pharmacy
"Sam's Stores East, Inc. 10-8132",,,,Naloxone Pharmacy
Schaeper's Northside Pharmacy,4187 Hamilton Avenue,,,Naloxone Pharmacy
The Christ Hospital Apothecary,,,,Naloxone Pharmacy
Uc - Medical Center - Holmes Division Pharmacy,,,,Naloxone Pharmacy
Uc - Medical Center In-Patient Pharmacy,,,,Naloxone Pharmacy
Wal-Mart Pharmacy 10-1521,,,,Naloxone Pharmacy
Wal-Mart Pharmacy 10-2250,,,,Naloxone Pharmacy
Wal-Mart Pharmacy 10-2447,,,,Naloxone Pharmacy
Wal-Mart Pharmacy 10-3656,,,,Naloxone Pharmacy
Wal-Mart Pharmacy 10-3749,,,,Naloxone Pharmacy
Wal-Mart Pharmacy 10-4609,,,,Naloxone Pharmacy
Walgreens #00274,,,,Naloxone Pharmacy
Walgreens #01502,,,,Naloxone Pharmacy
Walgreens #02136,,,,Naloxone Pharmacy
Walgreens #02694,,,,Naloxone Pharmacy
Walgreens #02697,,,,Naloxone Pharmacy
Walgreens #03672,,,,Naloxone Pharmacy
Walgreens #03792,,,,Naloxone Pharmacy
Walgreens #03807,,,,Naloxone Pharmacy
Walgreens #04245,,,,Naloxone Pharmacy
Walgreens #04246,,,,Naloxone Pharmacy
Walgreens #04522,,,,Naloxone Pharmacy
Walgreens #04893,,,,Naloxone Pharmacy
Walgreens #05632,,,,Naloxone Pharmacy
Walgreens #05716,,,,Naloxone Pharmacy
Walgreens #06191,,,,Naloxone Pharmacy
Walgreens #06653,,,,Naloxone Pharmacy
Walgreens #06787,,,,Naloxone Pharmacy
Walgreens #07045,,,,Naloxone Pharmacy
Walgreens #07053,,,,Naloxone Pharmacy
Walgreens #07181,,,,Naloxone Pharmacy
Walgreens #07182,,,,Naloxone Pharmacy
Walgreens #07435,,,,Naloxone Pharmacy
Walgreens #07470,,,,Naloxone Pharmacy
Walgreens #07877,,,,Naloxone Pharmacy
Walgreens #07900,,,,Naloxone Pharmacy
Walgreens #09775,,,,Naloxone Pharmacy
Walgreens #10493,,,,Naloxone Pharmacy
Walgreens #11269,,,,Naloxone Pharmacy
Walgreens #11630,,,,Naloxone Pharmacy
Walgreens #12830,,,,Naloxone Pharmacy
Walgreens #12831,,,,Naloxone Pharmacy
Walgreens #2875,,,,Naloxone Pharmacy
Walgreens #4731,,,,Naloxone Pharmacy
Center for Health and Innovative Learning LIC,,,,Office-Based Opioid Treatment Provider
Enlite Clinics - Cincinnati,,,,Office-Based Opioid Treatment Provider
Individual Care Center,,,,Office-Based Opioid Treatment Provider
"Midwest Health Group, LIC",,,,Office-Based Opioid Treatment Provider
New Insights Medical Aid,,,,Office-Based Opioid Treatment Provider
Poland Psychiatric Services,,,,Office-Based Opioid Treatment Provider
Tri State Hope Inc,,,,Office-Based Opioid Treatment Provider
Caracole,,,,Hepatitis C Testing Site
Cincinnati Health Network - McMicken Integrated Care Clinic,,,,Hepatitis C Testing Site
Planned Parenthood - Mt Auburn Health Center,,,,Hepatitis C Testing Site
Planned Parenthood - Springdale Health Center,,,,Hepatitis C Testing Site
Planned Parenthood - Western Hills Health Center,,,,Hepatitis C Testing Site
Shelterhouse David and Rebecca Barron Center for Men,,,,Hepatitis C Testing Site
Shelterhouse Esther Marie Hatton Center for Women,,,,Hepatitis C Testing Site
The Exchange Project - Mt. Auburn,,,,Hepatitis C Testing Site
The Exchange Project - Walnut Hills,,,,Hepatitis C Testing Site
The HealthCare Connection - Forest Park Health Center,,,,Hepatitis C Testing Site
The HealthCare Connection - Lincoln Heights Health Center,,,,Hepatitis C Testing Site
The HealthCare Connection - Mt. Healthy Family Practice Center,,,,Hepatitis C Testing Site
"The HealthCare Connection/Five Primary Care - Talbert House, Glenway",,,,Hepatitis C Testing Site
"The HealthCare Connection/Five Primary Care - Talbert House, Hamilton Avenue",,,,Hepatitis C Testing Site
